Season,Episode,Character,Line
3,5,Stan,dude do we really want another one of these things hanging around
4,8,Mr. Mackey,yeah tuesday mornings good
11,9,Stan,all im asking is that maybe with this one thing let my dad be number 1 aand you can still be number 2
3,9,Kenny,come on squirts we gotta run were already goddamned late
14,5,Mr. Garrison,no dont  is that okay to show
9,14,Stan,dad where the hell could he have gone
2,4,Chef,no no no children im talkin about the most important part of a mans body
1,7,Chef,you did it children
9,6,Kenny,me too
13,9,Butters,oh money rrright  there you go a five dollar bill all for you
4,9,Randy,yeah i wanna see what you guys can do and then well go buy you a small toy so that you can forget all about this
4,15,Cartman,alright i dont know who the hell put you all up to this  but i am sure as hell not going to any gayass fat camp
15,1,Kyle,yaaaaah
14,8,Kenny,stop this car
9,6,Butters,does this mean you have to go now
2,5,Chef,i need to know how far it is lady
14,11,Randy,whoa boy did you hear about that fire downtown sharon
9,11,Cartman,"no he was just telling me about something funny that happened at school yesterday um oh but anyway ohhh oh wow i cant believe how great it feels to finally love my fellow man huh isnt this great you guys we sure have been throgh a lot but in the end we all learned its best to get along
hand in hand we can live together ginger or not were all the same
black or white brown or red we shouldnt kill each other cause its lame come on guys
hand in hand we can live together"
14,10,Mr. Mackey,okay
2,5,Chef,damn man this is the big time alright
3,12,Chef,is everybody okay
10,6,Kenny,hello
12,7,Butters,jeez uh cops are looking for us everywhere
1,13,Mr. Garrison,no
14,5,Mr. Mackey,they are going to sue the bejezzus out of this entire town mkay
2,17,Cartman,i love you guys
14,5,Mr. Mackey,they are going to sue the bejezzus out of this entire town mkay
8,4,Randy,you got served by who
1,13,Mr. Garrison,so you see eric anyone here could be your father im afraid youre never going to know
11,7,Randy,huh i dont have any change
4,7,Sharon,ooh a tampon made from cherokee hair—now that sounds natural
7,6,Stan,son of a bitch stupid fbi
16,11,Butters,whoa its like gasoline
3,17,Mr. Garrison,guess ill just go on up to bed now
14,9,Butters,yeah but lockin kyle in a meat freezer i mean he could die
8,3,Kyle,no im on the away team too
7,8,Mr. Garrison,chef can i talk to you
18,10,Kyle,what are you talking about stan
3,2,Mr. Mackey,hi boys
7,8,Sharon,ladies get your things i know what we have to do
3,6,Mr. Garrison,im sorry toots
12,9,Mr. Mackey,wendy
10,2,Cartman,why do you want kyle back dont you see how awesome it is without him
3,6,Mr. Garrison,well he is a little asssucker
9,6,Cartman,tell her tell her that i wish i wish i would have been a better son sometimes
12,14,Butters,oh that tastes awful blagh blagh
3,10,Mr. Garrison,for the last time my name is not garrisonsan all right and this is not hatsan and you all better start talking in a manner that i can understand
16,8,Randy,thanks jim
16,12,Sharon,yehay
14,14,Sharon,well i dont know
17,5,Mr. Mackey,oh i see
2,18,Kyle,you guuuys
15,12,Cartman,somebodys been in my room  fucking 99ers what did they take
5,1,Mr. Garrison,oh i bet this is it here it comes
6,16,Butters,mm uhm maybe i used a little too much silver
12,7,Kenny,what hey let go
9,14,Randy,oh bless you sir bless you  scuse me out of the way alcoholic coming through  shes beautiful  aaaah aaaaaaaaaah  im not going to drink this im not going to drink this  its a miracle im cured  yoohoohoo praise jesus praise mary the blessed virgin mother thank you thank you god
5,9,Kenny,no fuckin way dude
12,9,Cartman,look out everyone theres some killer titties on the loose  couldve swore i heard them coming through the roof  pssht officer we need to get an apb out on those titties theyre armed and dangerous
2,14,Chef,uhoh
11,1,Butters,all right eric come on eric
3,11,Mr. Garrison,and so children thats why hare krishnas are totally gay  uh can i help you
1,3,Chef,but you see mr mayor you cant stop serving salisbury steak in our public schools whats next meatloaf
13,5,Cartman,come on jimmy we gotta go back and finish that joke  like fishsticks in your mouth what are you a gay fish there
1,4,Chef,sorry son now get your ass in there
14,5,Mr. Garrison,hey is that fudgepacker tom cruise
17,8,Butters,please its urgent
1,7,Kyle,it looks like a ufo
15,7,Randy,uh no i mean  i like it
5,3,Kyle,well this is what i believe in now stan and if you cant respect that then i guess were not best friends anymore
12,3,Kenny,yeah i guess so
7,15,Kenny,me neither
2,2,Chef,what do you want me to do
1,4,Chef,yes pip what is it
13,14,Butters,you can do it kyle
2,11,Mr. Mackey,mkay
4,15,Chef,"you see children sometimes a man needs to be with a woman but sometimes when the lovin is over the woman just wants to talk and talk and talk and talk 
but a prostitute is someone who would love you
no matter who you are or what you look like
yes its true children
thats not why you pay a prostitute
no you dont pay her to stay you pay her to leave afterwards
thats why i pays a lot for prostitutes
ladies and gentlemen mr james taylor"
16,1,Mr. Garrison,hey yeah if theres no toilet seats the government cant make toilet seat laws
7,6,Kyle,dude if my mom knew i was in here i would be in super big trouble
4,1,Cartman,hey you guys
4,2,Chef,uh
5,8,Cartman,no it isnt
3,6,Mr. Garrison,well he is a little asssucker
16,12,Sharon,stans about to go out with his friends
11,9,Randy,really yuh you mean really  hey stan i uh hey sharon hey everybody
9,12,Stan,i cant im writing a new sacred doctrine for my church
8,9,Stan,is that the right way dad dad  dad
3,14,Mr. Garrison,mmm it does taste like smores
1,7,Cartman,where the hell is kyle we dont have all night to wait for him
3,15,Stan,it fell
12,8,Butters,hey eric uh these people arent chinese
1,4,Chef,well youre gay arent you
15,2,Kyle,yeah sorry dude uh i cant make it either
1,11,Kenny,damn id like to get a taste of her
3,1,Mr. Mackey,i am tired of seeing you in my office young man  you get sent here every day craig
3,10,Cartman,no kitty these are my spicyhot louisianabaked chicken tenders
9,7,Mr. Mackey,well why the hell not
1,1,Chef,hello there children
1,9,Kyle,officer barbrady
15,14,Cartman,"yes yeheah did you hear that kenny were good i seriously thought we didnt stand a chance but now everythings gonna be okay
cause im not im not the poor kid at school  
lets hear it for jacob hallery guys 
his mom is so poor she cuts coupons out to be institutionalized
greeley colorados the place to be
its a whole new beginning for you and me
life can only get better cause i know one simple ruuule
im not hes not the poor kid at school"
2,10,Sharon,but whats wrong with her
13,12,Butters,what are you guys talkin about harleys are neato
18,9,Kyle,hey ike you wanna come watch tv with me
11,10,Cartman,thank you your honor this isnt a victory for me this is a victory for the justice system and my balls
7,3,Mr. Mackey,you all get two weeks of detention except eric who gets one week for being brave
13,13,Mr. Mackey,get lost you little dirtball
2,6,Mr. Garrison,then you get an f fail the third grade and have to get a job cleaning septic tanks to support your drug habit
18,2,Mr. Mackey,gluten causes sluggishness irritability and nearly all behavioral problems
4,7,Mr. Garrison,ooohhh why not
7,15,Mr. Garrison,how about we get rid of all the mexicans
3,8,Mr. Mackey,mkay drive carefully mkay
8,4,Chef,rules are you have to have five dancers we have no choice children we have to forfeit
16,2,Kyle,dude this guys trying to rook us we can go someplace else
7,5,Kenny,woohoo
17,5,Mr. Mackey,well it sounds like hes hittin puberty
13,1,Kenny,hey tammy
3,13,Kenny,heheh yeah youre a faggot dude fuck yeah heheeheh
1,1,Stan,bleech
2,2,Chef,is he dead
7,11,Kyle,its like the disneyland of mexican restaurants
4,4,Sharon,yes i should have known it all makes sense now i could never get stanley to pay attention when his grandfather told him stories about the 30s
4,4,Mr. Garrison,okay children lets settle down  huhh i mean it i want quiet  my god mr hat these children are so boring on ritalin  huh ah alright children today were gonna learn about human reproduction what do you think about that  vaginas and penises butt sex  well dammit eric dont you have some smartass thing to say
4,9,Randy,and just like that i left everything i dropped out of high school
4,9,Kyle,wow there must be at least 20 people out there
18,5,Butters,why
15,7,Sharon,randy dont you see what this is you had dreams of being a rock star when you were younger now you cant admit the next generations music sounds shitty its called getting older randy its okay
4,1,Butters,on your marks get set uhgo
9,12,Stan,what
2,12,Mr. Garrison,well then stanley what did i just say
6,5,Kyle,ugh were gonna end up watching this whole retared russell crowe show
8,9,Sharon,yes wallmart is the leading employer of seniors and they also employ the handicapped
10,10,Kenny,reaaly
6,3,Butters,uhhh yeah
3,17,Kenny,yeah
1,4,Stan,yeah but my dog found his own way here that makes him smarter than your  sparky get down
3,17,Mr. Mackey,yuhno  you may have won this time mr hat
15,9,Stan,ahhh i think well stick with kyle dude you made it across the border but it did take you two and a half weeks
8,7,Stan,cartman just keep your mouth shut
17,3,Mr. Mackey,have a seat eric now boys i for one am sick and tired of this little feud youre having okay this has clearly gone too far and you owe each other an apology or youre gettin detention
15,4,Randy,aw suck it all oya
15,11,Sharon,thats what were doing putting our faith in randys new musical
7,8,Mr. Garrison,well you know i was just thinking we could put on some music and watch videos and pound mr slaves tight little ass
3,5,Stan,huhim not so sure this is a good thing
6,13,Cartman,quiet
12,8,Butters,were busted uh what do we do
9,4,Kyle,dude we have to do whatever we can to get that feeding tube put back in
16,6,Stan,we can take a boat you guys we can probably take it all the way back to fairplay
4,3,Cartman,you see in america we have log rides  bacon doublecheeseburgers  sheepshearing contests
7,13,Kenny,well yep thats what i think
12,6,Randy,and so what have we learned through this ordeal the internet went away it came back but for how long we do not know we cannot take the internet for granted any longer we as a country must stop overlogging on we must use the internet only when we need it its easy for us to think we can just use up all the internet we want but if we dont treat the internet with the respect  that it deserves it could one day be gone forever so let us learn to live with the internet not for it no more browsing for no apparent reason no more mindlessly surfing on our laptops while watching television and finally  we must learn to only use the internet for porn twice a day max
6,4,Sharon,open this door now
1,4,Chef,well youre gay arent you
